,submission_id,itemID,type,setting,region,avg_rt,phrase,phrase_length,speakerKnowledge,is_a_quantifier,item_has_a_scalar_trigger_sentence,triggerType
74,3409,5,trigger,focused,4_f_ntw_2,32.0,Only some of the real estate investments lost money.,9.0,full,no,no,focused
75,3409,5,continuation,complement,1_anaphor,293.0,The others were successful despite the recent economic downturn.,9.0,full,no,no,focused
76,3409,5,continuation,complement,2_predicate,269.0,The others were successful despite the recent economic downturn.,9.0,full,no,no,focused
77,3409,5,continuation,complement,3_clause_boundary,243.0,The others were successful despite the recent economic downturn.,9.0,full,no,no,focused
78,3409,5,continuation,complement,4_next_two_words,228.0,The others were successful despite the recent economic downturn.,9.0,full,no,no,focused
79,3409,6,trigger,scalar,1_s_quantifier,342.0,Some of our computers were infected.,6.0,partial,no,yes,scalar
80,3409,6,trigger,scalar,2_s_ntw_1,316.0,Some of our computers were infected.,6.0,partial,no,yes,scalar
81,3409,6,trigger,scalar,3_s_ntw_2,279.5,Some of our computers were infected.,6.0,partial,no,yes,scalar
82,3409,6,continuation,cancelation,cancelation_1,291.0,"In fact, they all were and the virus nearly destroyed the whole system.",13.0,partial,no,yes,scalar
83,3409,6,continuation,cancelation,cancelation_2,293.5,"In fact, they all were and the virus nearly destroyed the whole system.",13.0,partial,no,yes,scalar
84,3409,6,continuation,cancelation,cancelation_3,251.0,"In fact, they all were and the virus nearly destroyed the whole system.",13.0,partial,no,yes,scalar
85,3409,6,continuation,cancelation,cancelation_4,272.0,"In fact, they all were and the virus nearly destroyed the whole system.",13.0,partial,no,yes,scalar
86,3409,4,trigger,scalar,1_s_quantifier,272.0,Some of the passengers were still alive.,7.0,full,no,yes,scalar
87,3409,4,trigger,scalar,2_s_ntw_1,289.0,Some of the passengers were still alive.,7.0,full,no,yes,scalar
88,3409,4,trigger,scalar,3_s_ntw_2,288.5,Some of the passengers were still alive.,7.0,full,no,yes,scalar
89,3409,4,continuation,complement,1_anaphor,257.0,The others were killed on impact and there was no opportunity to save them.,14.0,full,no,yes,scalar
90,3409,4,continuation,complement,2_predicate,279.0,The others were killed on impact and there was no opportunity to save them.,14.0,full,no,yes,scalar
91,3409,4,continuation,complement,3_clause_boundary,268.0,The others were killed on impact and there was no opportunity to save them.,14.0,full,no,yes,scalar
92,3409,4,continuation,complement,4_next_two_words,276.5,The others were killed on impact and there was no opportunity to save them.,14.0,full,no,yes,scalar
93,3409,15,trigger,scalar,1_s_quantifier,255.0,Some of their hotels were expensive.,6.0,full,no,yes,scalar
94,3409,15,trigger,scalar,2_s_ntw_1,273.5,Some of their hotels were expensive.,6.0,full,no,yes,scalar
95,3409,15,trigger,scalar,3_s_ntw_2,32.0,Some of their hotels were expensive.,6.0,full,no,yes,scalar
96,3409,15,continuation,cancelation,cancelation_1,286.5,"In fact, they all were because my family loves luxurious holidays.",11.0,full,no,yes,scalar
97,3409,15,continuation,cancelation,cancelation_2,261.5,"In fact, they all were because my family loves luxurious holidays.",11.0,full,no,yes,scalar
98,3409,15,continuation,cancelation,cancelation_3,303.0,"In fact, they all were because my family loves luxurious holidays.",11.0,full,no,yes,scalar
99,3409,15,continuation,cancelation,cancelation_4,310.0,"In fact, they all were because my family loves luxurious holidays.",11.0,full,no,yes,scalar
100,3409,13,trigger,focused,1_f_particle,246.0,Only some of its tires were flat.,7.0,full,no,no,focused
101,3409,13,trigger,focused,2_f_quantifier,239.5,Only some of its tires were flat.,7.0,full,no,no,focused
102,3409,13,trigger,focused,3_f_ntw_1,265.0,Only some of its tires were flat.,7.0,full,no,no,focused
103,3409,13,trigger,focused,4_f_ntw_2,292.0,Only some of its tires were flat.,7.0,full,no,no,focused
104,3409,13,continuation,complement,1_anaphor,291.0,The others were fine so it would not cost too much to fix it.,14.0,full,no,no,focused
105,3409,13,continuation,complement,2_predicate,330.0,The others were fine so it would not cost too much to fix it.,14.0,full,no,no,focused
106,3409,13,continuation,complement,3_clause_boundary,274.0,The others were fine so it would not cost too much to fix it.,14.0,full,no,no,focused
107,3409,13,continuation,complement,4_next_two_words,296.5,The others were fine so it would not cost too much to fix it.,14.0,full,no,no,focused
108,3409,3,trigger,scalar,1_s_quantifier,251.5,Some of the company’s accountants were there.,7.0,partial,no,yes,scalar
109,3409,3,trigger,scalar,2_s_ntw_1,270.0,Some of the company’s accountants were there.,7.0,partial,no,yes,scalar
110,3409,3,trigger,scalar,3_s_ntw_2,262.0,Some of the company’s accountants were there.,7.0,partial,no,yes,scalar
111,3409,3,continuation,complement,1_anaphor,247.0,The rest were missing because they had to audit the company’s finances before the end of the quarter.,18.0,partial,no,yes,scalar
112,3409,3,continuation,complement,2_predicate,275.0,The rest were missing because they had to audit the company’s finances before the end of the quarter.,18.0,partial,no,yes,scalar
113,3409,3,continuation,complement,3_clause_boundary,307.0,The rest were missing because they had to audit the company’s finances before the end of the quarter.,18.0,partial,no,yes,scalar
114,3409,3,continuation,complement,4_next_two_words,257.0,The rest were missing because they had to audit the company’s finances before the end of the quarter.,18.0,partial,no,yes,scalar
115,3409,2,trigger,focused,1_f_particle,290.0,Only some of the residents had evacuated.,7.0,partial,no,no,focused
116,3409,2,trigger,focused,2_f_quantifier,292.5,Only some of the residents had evacuated.,7.0,partial,no,no,focused
117,3409,2,trigger,focused,3_f_ntw_1,288.5,Only some of the residents had evacuated.,7.0,partial,no,no,focused
118,3409,2,trigger,focused,4_f_ntw_2,319.5,Only some of the residents had evacuated.,7.0,partial,no,no,focused
119,3409,2,continuation,complement,1_anaphor,328.5,The rest stayed at home and foolishly risked their lives.,10.0,partial,no,no,focused
120,3409,2,continuation,complement,2_predicate,309.6666666666667,The rest stayed at home and foolishly risked their lives.,10.0,partial,no,no,focused
121,3409,2,continuation,complement,3_clause_boundary,287.0,The rest stayed at home and foolishly risked their lives.,10.0,partial,no,no,focused
122,3409,2,continuation,complement,4_next_two_words,305.5,The rest stayed at home and foolishly risked their lives.,10.0,partial,no,no,focused
123,3409,8,trigger,scalar,1_s_quantifier,287.0,Some of the leather couches had been sold.,8.0,full,no,yes,scalar
124,3409,8,trigger,scalar,2_s_ntw_1,263.5,Some of the leather couches had been sold.,8.0,full,no,yes,scalar
125,3409,8,trigger,scalar,3_s_ntw_2,303.5,Some of the leather couches had been sold.,8.0,full,no,yes,scalar
126,3409,8,continuation,complement,1_anaphor,291.0,The rest were going to be stored in the warehouse until the following season.,14.0,full,no,yes,scalar
127,3409,8,continuation,complement,2_predicate,327.25,The rest were going to be stored in the warehouse until the following season.,14.0,full,no,yes,scalar
128,3409,8,continuation,complement,3_clause_boundary,296.0,The rest were going to be stored in the warehouse until the following season.,14.0,full,no,yes,scalar
129,3409,8,continuation,complement,4_next_two_words,281.0,The rest were going to be stored in the warehouse until the following season.,14.0,full,no,yes,scalar
130,3409,21,trigger,scalar,1_s_quantifier,282.5,Some of the dictionaries were labeled incorrectly.,7.0,partial,no,yes,scalar
